,price,sq_area,furinture,BHK,location,bathrooms
359," 25,000 ",1600 ,Semi-Furnished,3 BHK Apartment in SV DD Colony,"Nallakunta, Hyderabad",No Deposit3 bathroomsEast facing
360," 55,000 ",2200 ,Semi-Furnished,4 BHK Apartment,"Masab Tank, Hyderabad",No Deposit3 bathrooms
361," 30,000 ",1650 ,Semi-Furnished,3 BHK Apartment,"West Marredpally, Hyderabad",No Deposit3 bathroomsWest facing
362," 39,000 ",1000 ,Semi-Furnished,2 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit2 bathroomsEast facing
363," 54,000 ",2000 ,Semi-Furnished,3 BHK Apartment in Northstar District 1,"Nanakramguda, Hyderabad",No Deposit3 bathroomsWest facing
364," 54,056 ",2000 ,Semi-Furnished,3 BHK Apartment in EIPL Rivera,"Narsingi, Hyderabad",No Deposit3 bathroomsEast facing
365," 44,000 ",1400 ,Furnished,3 BHK Apartment in Sunshine La Grand,"Narsingi, Hyderabad",No Deposit3 bathroomsEast facing
366," 69,000 ",2100 ,Furnished,3 BHK Apartment in Jain Ravi Gayathri Heights,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
367," 39,000 ",1400 ,Semi-Furnished,3 BHK Apartment in Sunshine La Grand,"Narsingi, Hyderabad",No Deposit3 bathroomsWest facing
368," 15,000 ",1200 ,Unfurnished,2 BHK Apartment,"Chintalmet, Hyderabad",No Deposit2 bathrooms
369," 15,000 ",900 ,Furnished,1 RK Studio Apartment,"Jai Suryapatnam, Hyderabad",No Deposit1 bathrooms
370," 30,000 ",1800 ,Semi-Furnished,3 BHK Apartment,"Amberpet, Hyderabad",No Deposit3 bathroomsEast facing
371," 30,000 ",1800 ,Semi-Furnished,3 BHK Apartment,"Masab Tank, Hyderabad",No Deposit3 bathroomsWest facing
372," 18,000 ",1200 ,Semi-Furnished,2 BHK Apartment,"Himayat Nagar, Hyderabad",No Deposit2 bathroomsEast facing
373," 27,000 ",1700 ,Semi-Furnished,3 BHK Apartment,"Amberpet, Hyderabad",No Deposit3 bathrooms
374," 27,000 ",1700 ,Semi-Furnished,3 BHK Apartment,"Himayat Nagar, Hyderabad",No Deposit3 bathroomsEast facing
375, 1.5 L,4650 ,Furnished,5 BHK Apartment in Pavani Boulevard,"Kokapet, Hyderabad",No Deposit5 bathroomsNorthEast facing
