,sq_area,furinture,Price_in_rupees,BHK_,House_Type,Location,Locality,No_of_Bathrooms,Facing
320,1670,Semi-Furnished,40000,3,Apartment, Hyderabad,Kondapur,3,East facing
321,2000,Semi-Furnished,54000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
322,1650,Semi-Furnished,44000,3,Apartment, Hyderabad,Hitech City,3,East facing
323,1336,Semi-Furnished,54000,3,Apartment, Hyderabad,Narsingi,3,East facing
324,1700,Semi-Furnished,34000,3,Apartment, Hyderabad,Gachibowli,3,East facing
325,2100,Semi-Furnished,49000,3,Apartment, Hyderabad,Kokapet,3,NorthEast facing
326,1400,Semi-Furnished,34000,2,Apartment, Hyderabad,Chandanagar,2,East facing
327,1380,Furnished,31000,2,Apartment, Hyderabad,Begumpet,2,East facing
328,1500,Furnished,59000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
329,2100,Semi-Furnished,44000,3,Apartment, Hyderabad,Tellapur,3,East facing
330,892,Semi-Furnished,41000,2,Apartment, Hyderabad,Gachibowli,2,East facing
331,2400,Semi-Furnished,29000,4,Apartment, Hyderabad,Tellapur,3,East facing
332,1300,Furnished,17000,2,Apartment, Hyderabad,Vanasthalipuram,2,
333,1200,Semi-Furnished,16000,1,Apartment, Hyderabad,Amberpet,2,
334,1400,Semi-Furnished,22500,1,Apartment, Hyderabad,Puppalaguda,2,
335,180,Furnished,7200,1,Apartment, Hyderabad,Pocharam,1,
336,1450,Semi-Furnished,32000,3,Apartment, Hyderabad,Kukatpally,3,East facing
337,2300,Semi-Furnished,70000,3,Apartment, Hyderabad,Nanakramguda,3,West facing
338,2218,Semi-Furnished,55000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
339,1845,Semi-Furnished,45000,3,Apartment, Hyderabad,Narsingi,3,East facing
340,2160,Semi-Furnished,50000,3,Apartment, Hyderabad,Gachibowli,3,East facing
341,1745,Semi-Furnished,50000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
342,1750,Semi-Furnished,35000,3,Apartment, Hyderabad,Sanath Nagar,3,East facing
343,1670,Semi-Furnished,40000,3,Apartment, Hyderabad,Kokapet,3,West facing
344,1745,Semi-Furnished,35000,3,Apartment, Hyderabad,Madhapur,3,
345,1800,Semi-Furnished,30000,3,Apartment, Hyderabad,Himayat Nagar,3,North facing
346,1963,Semi-Furnished,35000,3,Apartment, Hyderabad,Banjara Hills,3,East facing
347,1410,Semi-Furnished,29610,3,Apartment, Hyderabad,Somajiguda,2,NorthEast facing
348,1150,Semi-Furnished,13800,2,Apartment, Hyderabad,Kukatpally,2,NorthEast facing
349,2045,Semi-Furnished,40000,3,Apartment, Hyderabad,Hitech City,3,NorthEast facing
350,1670,Semi-Furnished,38000,3,Apartment, Hyderabad,Nallagandla Gachibowli,3,East facing
351,1475,Semi-Furnished,40000,3,Apartment, Hyderabad,Serilingampally,3,West facing
352,1545,Semi-Furnished,38000,3,Apartment, Hyderabad,Hitech City,3,East facing
353,1600,Semi-Furnished,38000,3,Independent Floor, Hyderabad,Kondapur,3,West facing
354,2000,Semi-Furnished,50000,3,Apartment, Hyderabad,Banjara Hills,3,East facing
355,1100,Semi-Furnished,18000,2,Apartment, Hyderabad,Nallakunta,2,East facing
356,1650,Semi-Furnished,25000,3,Apartment, Hyderabad,Mahendra Hills,3,NorthEast facing
357,7000,Semi-Furnished,100000,1,Independent House, Hyderabad,Habsiguda,9,
358,3500,Furnished,40000,3,Independent Floor, Hyderabad,Habsiguda,4,
359,1600,Semi-Furnished,25000,3,Apartment, Hyderabad,Nallakunta,3,East facing
360,2200,Semi-Furnished,55000,4,Apartment, Hyderabad,Masab Tank,3,
361,1650,Semi-Furnished,30000,3,Apartment, Hyderabad,West Marredpally,3,West facing
362,1000,Semi-Furnished,39000,2,Apartment, Hyderabad,Kondapur,2,East facing
363,2000,Semi-Furnished,54000,3,Apartment, Hyderabad,Nanakramguda,3,West facing
364,2000,Semi-Furnished,54056,3,Apartment, Hyderabad,Narsingi,3,East facing
365,1400,Furnished,44000,3,Apartment, Hyderabad,Narsingi,3,East facing
366,2100,Furnished,69000,3,Apartment, Hyderabad,Hitech City,3,East facing
367,1400,Semi-Furnished,39000,3,Apartment, Hyderabad,Narsingi,3,West facing
368,1200,Unfurnished,15000,2,Apartment, Hyderabad,Chintalmet,2,
